appsscript	VIEW_ALL_PROJECTS	DOMAIN_ADMIN	APP_SCRIPT 889255070826	503,439
calendar	APP_ADMIN	DELEGATED_ADMIN	CALENDAR 435070579839	931,347
calendar	CALENDAR_RESOURCE	DELEGATED_ADMIN	CALENDAR 435070579839	773,866
calendar	ROOM_INSIGHTS_DASHBOARD_ACCESS	DELEGATED_ADMIN	CALENDAR 435070579839	747,531
calendar	CALENDAR_RESOURCE_READ	DELEGATED_ADMIN	CALENDAR 435070579839	13,184
calendar	ignored-by-authz	DOMAIN_ADMIN	CALENDAR 435070579839	285,104,810
calendar	APP_ADMIN	DOMAIN_ADMIN	CALENDAR 435070579839	6,173,824
calendar	CALENDAR_RESOURCE	DOMAIN_ADMIN	CALENDAR 435070579839	5,946,983
calendar	ROOM_INSIGHTS_DASHBOARD_ACCESS	DOMAIN_ADMIN	CALENDAR 435070579839	5,850,052
calendar	CALENDAR_RESOURCE_READ	DOMAIN_ADMIN	CALENDAR 435070579839	41,618
calendar	APP_ADMIN	RESELLER	CALENDAR 435070579839	78,158
calendar	CALENDAR_RESOURCE	RESELLER	CALENDAR 435070579839	73,358
calendar	ROOM_INSIGHTS_DASHBOARD_ACCESS	RESELLER	CALENDAR 435070579839	58,915
calendar	CALENDAR_RESOURCE_READ	RESELLER	CALENDAR 435070579839	2,855
calendar	APP_ADMIN	ROBOT_ACCOUNT	CALENDAR 435070579839	2,292,267
calendar	CALENDAR_RESOURCE_READ	ROBOT_ACCOUNT	CALENDAR 435070579839	1,973,073
calendar	CALENDAR_RESOURCE	ROBOT_ACCOUNT	CALENDAR 435070579839	20,859
calendar	APP_ADMIN	SUPPORT_USER	CALENDAR 435070579839	103,619
calendar	ROOM_INSIGHTS_DASHBOARD_ACCESS	SUPPORT_USER	CALENDAR 435070579839	67,529
calendar	CALENDAR_RESOURCE_READ	SUPPORT_USER	CALENDAR 435070579839	5,699
chrome	MANAGE_CHROME_APPLICATION_SETTINGS	DELEGATED_ADMIN	CHROME_MANAGEMENT 667484350296	1,716,721
chrome	MANAGE_CHROME_USER_SETTINGS	DELEGATED_ADMIN	CHROME_MANAGEMENT 667484350296	546,151
chrome	MANAGE_CHROME_USER_SETTINGS	DOMAIN_ADMIN	CHROME_MANAGEMENT 667484350296	5,855,026
chrome	MANAGE_CHROME_APPLICATION_SETTINGS	DOMAIN_ADMIN	CHROME_MANAGEMENT 667484350296	5,854,261
chrome_kiosk	MANAGE_KIOSK_DEVICES	DELEGATED_ADMIN	CHROME_KIOSK 108583854672	83,291
chrome_kiosk	MANAGE_KIOSK_DEVICES	SUPPORT_USER	CHROME_KIOSK 108583854672	98,837
chrome_os	MANAGE_DEVICES	DELEGATED_ADMIN	CHROME_OS 381261055880	9,523,979
chrome_os	APP_ADMIN	DELEGATED_ADMIN	CHROME_OS 381261055880	1,053,674
chrome_os	MANAGE_DEVICE_SETTINGS	DELEGATED_ADMIN	CHROME_OS 381261055880	931,937
chrome_os	MANAGE_APPLICATION_SETTINGS	DELEGATED_ADMIN	CHROME_OS 381261055880	556,868
chrome_os	MANAGE_USER_SETTINGS	DELEGATED_ADMIN	CHROME_OS 381261055880	352,219
chrome_os	MANAGE_DEVICES	DOMAIN_ADMIN	CHROME_OS 381261055880	39,248,599
chrome_os	MANAGE_DEVICE_SETTINGS	DOMAIN_ADMIN	CHROME_OS 381261055880	5,942,821
chrome_os	MANAGE_USER_SETTINGS	DOMAIN_ADMIN	CHROME_OS 381261055880	5,937,560
chrome_os	MANAGE_APPLICATION_SETTINGS	DOMAIN_ADMIN	CHROME_OS 381261055880	5,937,533
chrome_os	APP_ADMIN	DOMAIN_ADMIN	CHROME_OS 381261055880	5,931,143
chrome_os	MANAGE_KIOSK_DEVICES	DOMAIN_ADMIN	CHROME_OS 381261055880	179,448
chrome_os	MANAGE_DEVICES	RESELLER	CHROME_OS 381261055880	101,780
chrome_os	MANAGE_USER_SETTINGS	RESELLER	CHROME_OS 381261055880	72,984
chrome_os	MANAGE_APPLICATION_SETTINGS	RESELLER	CHROME_OS 381261055880	72,982
chrome_os	MANAGE_DEVICE_SETTINGS	RESELLER	CHROME_OS 381261055880	72,982
chrome_os	MANAGE_USER_AND_DEVICE_NETWORKS	RESELLER	CHROME_OS 381261055880	1
chrome_os	MANAGE_DEVICE_SHIPMENTS	RESELLER	CHROME_OS 381261055880	1
chrome_os	MANAGE_DEVICES	ROBOT_ACCOUNT	CHROME_OS 381261055880	1,667,654
chrome_os	MANAGE_DEVICE_SETTINGS	ROBOT_ACCOUNT	CHROME_OS 381261055880	5
chrome_os	MANAGE_USER_SETTINGS	ROBOT_ACCOUNT	CHROME_OS 381261055880	4
chrome_os	MANAGE_APPLICATION_SETTINGS	ROBOT_ACCOUNT	CHROME_OS 381261055880	2
